Id,ProductId,OemNumber,Brand,IsOriginal,CreatedAt,ErpProductId
00005607-d546-4d1e-b05b-041ecfaf5805,108846,2889013E22,NISSAN,1,2026-08-09 17:31:42,RAPID-1833309
00008f02-ec6e-47cf-ab49-4951ea41fd65,113164,51754193,FIAT,1,2026-08-09 19:48:16,RAPID-8182681
000156ff-a7f7-46af-857c-9270849e5ca4,114408,3557911,OPEL,1,2026-08-09 22:03:07,RAPID-2674015
0002b246-156d-4a76-b83e-270a0113d460,111364,402061200R,DACIA,1,2026-08-09 19:26:29,RAPID-65073505
00035869-1093-4a08-9b46-94831bf5f19f,109490,98 107 685 80,CITROËN,1,2026-08-09 17:38:19,RAPID-13697796
00035930-c41a-4dce-bf00-19d68f87bfcd,110540,4020600Q2E,NISSAN,1,2026-08-09 18:53:15,RAPID-6263847
0003dc77-6c8a-4114-8e54-99a48f5db18e,111894,3350.72,CITROËN,1,2026-08-09 19:31:12,RAPID-91987137
00056120-3664-4891-ad65-cb90eab358f0,108168,38340-54G31,SUZUKI,1,2026-08-09 17:15:52,RAPID-57692425
00063786-f141-49b0-b96f-9c1fc664b5fb,113128,71714463,FIAT,1,2026-08-09 19:46:08,RAPID-5252581
0006b4d4-0a7d-40c4-a853-a0130a7a7089,108163,85242-16020,TOYOTA,1,2026-08-09 17:15:52,RAPID-48306027
0007a5b7-92bb-4dc9-adbf-88fc5a0909d7,112629,3556159,OPEL,1,2026-08-09 19:38:13,RAPID-6630057
0007ae10-23c0-455b-b800-9ae59e1a0f6e,109343,9831182580,PEUGEOT,1,2026-08-09 17:38:19,RAPID-12506033
000955ec-9932-4cbe-9af4-aee7213f2eba,112040,330771,CITROËN,1,2026-08-09 19:33:09,RAPID-4020504
000bd11e-dd02-4147-87b2-422b63e03cd4,114305,9808483380,CITROËN (DF-PSA),1,2026-08-09 21:59:48,RAPID-6138506
000bded7-1bf2-4816-8b25-44a81d1bc222,108359,8522201011,TOYOTA,1,2026-08-09 17:27:17,RAPID-3706432
000caeac-e179-45a8-8fee-cee2a8361c31,108163,MR 416762,MITSUBISHI,1,2026-08-09 17:15:52,RAPID-48306027
000d3e66-02c3-4093-8de2-4ce6ecf5feb0,113416,1608691680,CITROËN,1,2026-08-09 19:50:56,RAPID-18276784
000d639c-d8fb-457a-a203-b4b54df55606,108156,85242-14020,TOYOTA,1,2026-08-09 17:15:52,RAPID-56953185
000f134f-fd84-49bd-92b2-94fcc58f9d1d,108081,0112 1444,IVECO,1,2026-08-09 17:15:52,RAPID-13841753
00105b20-8265-408b-9d9a-49b5730b35fb,110289,432105357R,RENAULT,1,2026-08-09 18:27:59,RAPID-8841420
00116e4d-cdb9-4189-9f7c-b8ace6e49acb,108689,8522228040C,TOYOTA,1,2026-08-09 17:29:29,RAPID-2340684
0011e3e9-07ca-4062-b5ab-653bd51edc13,114593,42494689,OPEL,1,2026-08-09 22:13:33,RAPID-8893367
0011f059-42ab-4442-a9be-04e2b2fea74e,110365,60813089,FIAT,1,2026-08-09 18:41:00,RAPID-9551999
0012e672-ebbe-473a-a049-50137adaabfa,108791,50508588,FIAT,1,2026-08-09 17:31:42,RAPID-9245854
0013232b-adda-40bd-a41f-dbbf6f861ac6,109977,7701462217,RENAULT,1,2026-08-09 17:46:52,RAPID-2533595
00147e0b-8235-4d54-b6c1-b156e2079133,111943,3557914,OPEL,1,2026-08-09 19:33:09,RAPID-6117180
00150786-3df2-4a76-8579-5d878a7be0ff,108360,1J0998003,VAG,1,2026-08-09 17:27:17,RAPID-3706431
00155477-5d52-47e0-9207-9557f5a75a28,114419,1606401480,CITROËN,1,2026-08-09 22:03:07,RAPID-8763834
0015c94e-18ab-49f1-872f-96e1a871a067,108355,60 25 371 205,RENAULT,1,2026-08-09 17:27:17,RAPID-8352975
0016218f-0863-4910-9a64-5c9aa4d1612a,114155,1609249980,CITROËN/PEUGEOT,1,2026-08-09 21:59:48,RAPID-18021859
0017129f-933b-4021-9aff-bdb99d4ba191,109706,46529970,ALFA ROMEO,1,2026-08-09 17:42:49,RAPID-8471233
001740ab-2f8b-4aff-90fc-40e6bd90fc8a,110540,402062650R,RENAULT,1,2026-08-09 18:53:15,RAPID-6263847
00191b33-01a6-43a0-b704-eec9b2eb6881,108163,85220-16410-000,DAIHATSU,1,2026-08-09 17:15:52,RAPID-48306027
001ad374-a4e5-4270-9c9b-ba58d9af1d9e,113866,1611841580,CITROËN,1,2026-08-09 20:00:20,RAPID-6171119
001b4e3f-ca7e-4823-a47c-9ab1a7b63c42,113200,16 131 913 80,CITROËN,1,2026-08-09 19:48:16,RAPID-3925532
001c0320-5a54-4532-b41f-f6a33c2980ee,111500,4020600Q1E,NISSAN,1,2026-08-09 19:26:29,RAPID-2946118
001c9b2e-b14b-4542-bc92-1b98ecb88d44,109557,546501J100,HYUNDAI,1,2026-08-09 17:42:49,RAPID-1150671
001f2d48-40a3-4809-909d-0237e16431fa,109711,77 01 205 778,RENAULT,1,2026-08-09 17:42:49,RAPID-61330205
0020d7db-02fe-4d82-933b-8531e6fed983,114655,4246P5,CITROËN,1,2026-08-09 22:13:33,RAPID-5190950
002101cc-a95f-4393-8d06-eec8416e3ab2,113103,4249 G1,CITROËN/PEUGEOT,1,2026-08-09 19:46:08,RAPID-3331371
00210cec-7ebe-4580-bd4c-96a63bd3f6ca,109618,30005050038,VOLVO,1,2026-08-09 17:42:49,RAPID-1187991
00210eb7-6ede-4107-a592-b7fa99ba5758,112878,4249J8,CITROËN,1,2026-08-09 19:43:09,RAPID-5980703
00245f90-fb37-4e4e-947c-52a15d7e4f8a,108572,76620SM4G01,HONDA,1,2026-08-09 17:29:29,RAPID-107714
0024d6a0-c4d0-42dd-a5b3-5e37057c34df,112649,424986,CITROËN,1,2026-08-09 19:38:13,RAPID-1551568
0026f241-1ec6-4ba7-8917-ac2e4771c3f9,114898,1618845280,OPEL,1,2026-08-09 22:42:34,RAPID-207432
00274f64-4b3c-4a94-82ec-a27e31aa78cb,108077,J7AZZZ90021,AUDI,1,2026-08-09 17:15:52,RAPID-19475374
0028f600-f6f4-4235-a2e3-db99d65c0428,112702,ZQ51014280,CITROËN (DF-PSA),1,2026-08-09 19:38:13,RAPID-2104561
002a0e58-0f4e-40b9-a450-991b0268140d,108076,07 11 9 905 013,BMW,1,2026-08-09 17:15:52,RAPID-21724128
002a21ca-4e6b-4d84-ae1a-915740360f05,114293,4249 17,PEUGEOT,1,2026-08-09 21:59:48,RAPID-2195995
002b4413-677f-4d1f-8279-889dbe652651,112132,16 239 425 80,CITROËN,1,2026-08-09 19:33:09,RAPID-4920903
002c66a9-e66d-4bc2-b7ba-747037bd352b,108157,B6365-89938,NISSAN,1,2026-08-09 17:15:52,RAPID-53825165
002c7eed-32f2-4832-a808-7d9deb004e05,115012,3748.45,CITROËN/PEUGEOT,1,2026-08-09 22:44:25,RAPID-8368861
002ca13c-0f30-4e61-bc6e-da17551c285e,111215,7701205842,RENAULT,1,2026-08-09 19:23:37,RAPID-1550839
002cc1f3-2834-4e25-9e18-a50256b29a88,111043,402107314R,DACIA,1,2026-08-09 19:17:58,RAPID-8725785
002fb128-2432-450a-9602-6502b7344f60,114654,1606308280,CITROËN,1,2026-08-09 22:13:33,RAPID-5188656
0032ecf7-af0f-4e05-9fcf-33872d699679,108231,LR025115,LAND ROVER,1,2026-08-09 17:23:41,RAPID-6142305
003424c2-71d4-4d10-9e54-0a74c8b54db8,110288,60814780,ALFA ROMEO,1,2026-08-09 18:27:59,RAPID-8840994
00359abc-44a1-4a35-8bfb-f27c2861ea92,108702,288904292R,RENAULT,1,2026-08-09 17:29:29,RAPID-9686787
003679ff-5f00-4086-bf5d-801e01cf7190,113093,4249G1,CITROËN/PEUGEOT,1,2026-08-09 19:46:08,RAPID-6088005
0036e007-0de6-4a1b-af08-f639c433e759,108075,1278879,HYMER,1,2026-08-09 17:15:52,RAPID-6730563
0038bcad-1ddd-4d01-b54f-bb893bddb24c,109694,4021000QAAS1,NISSAN,1,2026-08-09 17:42:49,RAPID-5828203
00394276-b927-4f77-b46d-17cdf43e5f7a,111305,4020 670 16R,RENAULT,1,2026-08-09 19:23:37,RAPID-1872634
003a810e-591e-4ef1-adfb-cadeed66113a,114474,424918,CITROËN,1,2026-08-09 22:03:07,RAPID-19798927
003b0681-0376-4cd9-ab34-7270ae9d1874,109694,40 21 029 77R,RENAULT,1,2026-08-09 17:42:49,RAPID-5828203
003b0d58-61bc-4191-97e5-d9f012f8e8ea,108147,K68015148AA,CHRYSLER,1,2026-08-09 17:15:52,RAPID-2866898
003b83be-4107-4496-a43b-b34dbb2400c8,111740,40 20 600 Q2M,RENAULT,1,2026-08-09 19:31:12,RAPID-2104582
003c3ec8-df42-4f0d-800d-923edb605dd1,111931,3557914,OPEL,1,2026-08-09 19:31:12,RAPID-54824738
003c5ad0-244c-4efd-ae3d-ba3994f71f59,111658,402065585R,RENAULT,1,2026-08-09 19:29:13,RAPID-1619457
003c89dc-518b-462a-9a26-0484442f8479,113204,424916,PEUGEOT,1,2026-08-09 19:48:16,RAPID-65661772
003d2ca0-c99c-4966-acf2-43c1a1c176e0,110085,60 01 550 915,RENAULT,1,2026-08-09 17:46:52,RAPID-6118713
003dd223-749f-452c-8138-7f1e162a2c6d,111731,402063140R,RENAULT,1,2026-08-09 19:29:13,RAPID-6586494
003ebae8-97a5-453e-8c49-e7fa9c8655f3,114346,16 137 039 80,CITROËN,1,2026-08-09 22:03:07,RAPID-5890698
003f7887-d73f-4c89-82fd-3d231b64d375,114425,4246 W8,CITROËN,1,2026-08-09 22:03:07,RAPID-8892877
003f91c0-b2d3-4fce-aa1a-396ff81a293a,113267,3350.69,PEUGEOT,1,2026-08-09 19:48:16,RAPID-58233272
003f979f-2a0a-4d7f-8e32-66fc5fe71a35,114304,4246W8,PEUGEOT,1,2026-08-09 21:59:48,RAPID-6084214
0040b281-074e-44f1-85ac-4f0e8a686f40,108574,7701408487,RENAULT,1,2026-08-09 17:29:29,RAPID-107723
00425234-bddb-4e4e-8f98-e0dbdb6da985,114098,424984,PEUGEOT,1,2026-08-09 20:02:26,RAPID-59952567
0044b20e-a801-4756-8c37-69680e5ff757,112600,4249 81,CITROËN,1,2026-08-09 19:38:13,RAPID-4024264
00456f6c-a247-49df-a0dc-c50c5a516d7d,114858,4249.C5,CITROËN,1,2026-08-09 22:42:34,RAPID-9550779
004694ce-e339-4d29-bb94-34774ddd46d9,108583,357 998 001 A,VW,1,2026-08-09 17:29:29,RAPID-896996
00477f2b-7c38-4137-b438-1092af5f6384,112855,4249 G1,CITROËN,1,2026-08-09 19:43:09,RAPID-1156954
